Date,Open,High,Low,Close,Adj Close,Volume
2017-06-01,205.0,207.0,204.5,207.0,167.9897003173828,27589000
2017-06-02,208.5,209.0,207.5,209.0,169.61277770996094,22573000
2017-06-05,209.5,212.0,209.0,212.0,172.04739379882812,21457000
2017-06-06,210.5,211.5,210.5,210.5,170.83009338378906,14912000
2017-06-07,212.0,212.5,210.0,211.5,171.6416473388672,29514000
2017-06-08,212.0,213.0,211.5,213.0,172.8590087890625,18437000
2017-06-09,214.5,215.0,212.0,212.0,172.04739379882812,31774000
2017-06-12,207.0,210.0,207.0,207.5,168.39547729492188,58256000
2017-06-13,207.0,208.5,206.5,208.0,168.80123901367188,43566000
2017-06-14,208.5,209.5,206.0,207.0,167.9897003173828,36293000
2017-06-15,207.5,208.0,207.0,208.0,168.80123901367188,17748000
2017-06-16,207.5,212.0,207.0,211.5,171.6416473388672,32816000
2017-06-19,211.0,213.0,210.5,213.0,172.8590087890625,15632000
2017-06-20,215.0,218.0,214.5,216.5,175.69935607910156,28630000
2017-06-21,216.0,217.0,214.5,215.5,174.8878631591797,44789000
2017-06-22,217.0,218.0,216.5,218.0,176.9166717529297,24139000
2017-06-23,218.0,218.5,217.0,217.0,176.10513305664062,39621000
2017-06-26,212.0,215.0,212.0,215.0,180.29811096191406,58686000
2017-06-27,214.0,214.0,211.0,211.5,177.363037109375,43269000
2017-06-28,209.5,210.0,208.0,208.5,174.84725952148438,48568000
2017-06-29,210.5,210.5,208.5,210.0,176.10516357421875,26019000
2017-06-30,206.5,208.5,206.5,208.5,174.84725952148438,30867000
2017-07-03,207.5,209.0,207.0,209.0,175.2665252685547,19027000
2017-07-04,208.0,208.5,207.0,207.0,173.58934020996094,21132000
2017-07-05,207.0,208.5,206.5,208.5,174.84725952148438,23276000
2017-07-06,208.0,208.5,207.0,207.5,174.00865173339844,15242000
2017-07-07,207.0,207.5,205.5,206.0,172.750732421875,20655000
2017-07-10,206.5,207.0,206.0,206.0,172.750732421875,13292000
2017-07-11,208.0,212.0,207.5,212.0,177.7823028564453,33265000
2017-07-12,211.0,212.5,210.5,210.5,176.52444458007812,26426000
2017-07-13,212.0,216.0,211.5,214.5,179.87881469726562,50090000
2017-07-14,213.0,214.5,212.0,213.0,178.62095642089844,22335000
2017-07-17,215.0,215.5,211.5,213.0,178.62095642089844,21372000
2017-07-18,213.0,214.0,212.0,214.0,179.4595184326172,18613000
2017-07-19,212.5,215.0,212.5,214.5,179.87881469726562,20637000
2017-07-20,215.0,215.5,214.0,215.5,180.71743774414062,20770000
2017-07-21,214.0,215.0,213.5,214.0,179.4595184326172,15032000
2017-07-24,213.5,214.5,213.0,214.5,179.87881469726562,19972000
2017-07-25,214.0,214.5,213.5,214.0,179.4595184326172,13344000
2017-07-26,215.0,215.0,212.5,213.0,178.62095642089844,14684000
2017-07-27,213.5,216.0,213.5,215.5,180.71743774414062,23013000
2017-07-28,213.0,214.0,212.5,213.0,178.62095642089844,19724000
2017-07-31,211.5,214.5,211.5,214.5,179.87881469726562,19993000
2017-08-01,212.5,214.0,212.0,212.0,177.7823028564453,19704000
2017-08-02,214.0,216.0,214.0,216.0,181.13670349121094,27320000
2017-08-03,213.0,214.0,212.5,213.5,179.04025268554688,25694000
2017-08-04,213.5,214.0,212.5,213.0,178.62095642089844,21831000
2017-08-07,213.5,216.5,213.5,216.0,181.13670349121094,21564000
2017-08-08,217.5,219.0,216.0,217.5,182.39459228515625,25122000
2017-08-09,215.0,215.5,213.5,214.5,179.87881469726562,28050000
2017-08-10,215.5,215.5,212.5,214.0,179.4595184326172,26273000
2017-08-11,211.0,213.5,210.5,212.5,178.20159912109375,41417000
2017-08-14,213.5,214.0,210.0,211.0,176.94374084472656,29299000
2017-08-15,213.0,214.5,213.0,214.0,179.4595184326172,13512000
2017-08-16,214.5,214.5,211.0,213.0,178.62095642089844,25176000
2017-08-17,213.5,214.0,213.0,214.0,179.4595184326172,8334000
2017-08-18,212.0,213.0,211.0,212.5,178.20159912109375,13711000
2017-08-21,212.5,213.0,211.5,211.5,177.363037109375,11882499
2017-08-22,213.5,214.5,213.0,214.5,179.87881469726562,14211415
2017-08-23,215.5,216.0,214.0,215.5,180.71743774414062,11589917
2017-08-24,216.0,217.0,215.5,217.0,181.9752960205078,15224842
2017-08-25,217.5,217.5,216.0,217.5,182.39459228515625,10125387
2017-08-28,215.0,216.5,215.0,216.0,181.13670349121094,15236159
2017-08-29,216.0,216.0,215.0,216.0,181.13670349121094,16160161
2017-08-30,216.0,218.0,216.0,217.5,182.39459228515625,19674310
2017-08-31,217.5,218.0,215.5,216.5,181.55599975585938,26434202
2017-09-01,215.0,217.5,215.0,216.5,181.55599975585938,17805405
2017-09-04,216.5,218.0,215.5,217.5,182.39459228515625,15023185
2017-09-05,218.0,218.0,216.5,218.0,182.8138885498047,17357347
2017-09-06,216.5,218.0,216.0,217.0,181.9752960205078,16012662
2017-09-07,218.0,218.5,216.0,217.0,181.9752960205078,19135540
2017-09-08,217.0,218.0,216.5,218.0,182.8138885498047,25512045
2017-09-11,219.0,219.5,216.5,217.0,181.9752960205078,19026886
2017-09-12,219.0,219.5,217.5,219.0,183.6525421142578,21588321
2017-09-13,217.5,219.0,217.5,218.0,182.8138885498047,17555541
2017-09-14,218.5,219.0,217.5,218.5,183.23321533203125,18315567
2017-09-15,218.5,219.0,217.0,218.5,183.23321533203125,44551103
2017-09-18,219.0,220.0,218.0,219.5,184.07177734375,17654705
2017-09-19,221.5,221.5,220.0,221.5,185.74899291992188,23410233
2017-09-20,221.0,222.0,220.0,221.5,185.74899291992188,20320237
2017-09-21,221.0,223.0,220.0,221.0,185.32969665527344,18645565
2017-09-22,221.5,222.0,218.5,218.5,183.23321533203125,21557370
2017-09-25,217.5,218.5,217.0,217.0,181.9752960205078,16876286
2017-09-26,217.5,218.0,214.0,214.0,179.4595184326172,23070901
2017-09-27,217.5,217.5,215.0,215.0,180.29811096191406,22590510
2017-09-28,215.0,216.0,213.5,214.0,179.4595184326172,31616062
2017-09-29,216.0,217.5,215.5,216.5,181.55599975585938,21380708
2017-10-02,219.5,220.5,218.5,220.5,184.91038513183594,27983551
2017-10-03,219.0,223.0,219.0,222.5,186.58755493164062,36679938
2017-10-05,222.0,225.5,222.0,224.5,188.26480102539062,23349939
2017-10-06,225.0,225.5,223.5,224.5,188.26480102539062,15642516
2017-10-11,226.5,233.5,226.5,233.0,195.39283752441406,63667562
2017-10-12,235.0,237.5,234.5,237.5,199.16653442382812,42390186
2017-10-13,237.5,237.5,234.5,237.5,199.16653442382812,23145071
2017-10-16,237.5,238.0,236.0,238.0,199.5857696533203,19964072
2017-10-17,238.0,238.0,235.0,235.5,197.4893341064453,17652304
2017-10-18,239.5,239.5,237.0,237.5,199.16653442382812,28886850
2017-10-19,239.5,241.5,239.0,239.0,200.42440795898438,23481776
2017-10-20,238.0,239.5,237.5,237.5,199.16653442382812,24722035
2017-10-23,239.0,240.0,238.5,239.0,200.42440795898438,15772559
2017-10-24,240.0,240.0,238.0,238.0,199.5857696533203,14975093
2017-10-25,238.5,239.0,237.5,238.0,199.5857696533203,16880187
2017-10-26,237.0,238.0,236.0,236.0,197.9086151123047,12959717
2017-10-27,237.5,240.0,237.5,239.0,200.42440795898438,17773541
2017-10-30,242.0,245.0,241.5,243.0,203.77880859375,27784990
2017-10-31,243.5,245.0,241.5,243.0,203.77880859375,22582013
2017-11-01,243.5,245.0,241.5,242.5,203.3594970703125,20389054
2017-11-02,242.0,242.5,240.5,241.0,202.10159301757812,15810342
2017-11-03,240.5,241.0,238.5,239.0,200.42440795898438,16528682
2017-11-06,243.5,244.0,239.0,239.5,200.84371948242188,21029415
2017-11-07,242.0,244.0,241.5,244.0,204.6173858642578,20200261
2017-11-08,243.0,243.5,242.0,242.5,203.3594970703125,14129103
2017-11-09,240.5,243.0,240.0,241.0,202.10159301757812,20313949
2017-11-10,240.0,242.0,239.5,240.5,201.6823272705078,14121296
2017-11-13,240.0,241.5,239.5,239.5,200.84371948242188,12087858
2017-11-14,241.0,241.0,239.0,240.0,201.2630157470703,16880176
2017-11-15,239.0,239.5,236.0,237.5,199.16653442382812,28720308
2017-11-16,238.0,240.0,237.5,238.0,199.5857696533203,16487172
2017-11-17,240.5,242.5,240.5,241.5,202.52088928222656,18676825
2017-11-20,241.0,241.5,238.0,238.5,200.00511169433594,16265271
2017-11-21,240.0,243.0,239.5,243.0,203.77880859375,20513024
2017-11-22,244.5,244.5,242.0,242.0,202.9402313232422,26626431
2017-11-23,242.0,243.5,241.5,242.5,203.3594970703125,9346763
2017-11-24,242.0,244.5,241.5,244.0,204.6173858642578,11154453
2017-11-27,240.0,240.0,237.0,237.0,198.74720764160156,32247324
2017-11-28,234.5,235.0,233.0,234.0,196.23146057128906,44803178
2017-11-29,235.0,236.0,234.5,234.5,196.65074157714844,25762797
2017-11-30,226.5,230.5,226.0,226.0,189.52268981933594,109231770
2017-12-01,228.5,233.5,227.5,231.0,193.71563720703125,37446265
2017-12-04,232.5,234.5,231.0,234.0,196.23146057128906,21635032
2017-12-05,231.0,231.0,228.5,229.5,192.45774841308594,29664765
2017-12-06,228.0,229.5,226.5,227.0,190.36126708984375,32371690
2017-12-07,226.5,226.5,222.5,226.5,189.94195556640625,41343903
2017-12-08,231.0,231.0,224.5,227.0,190.36126708984375,37959260
2017-12-11,228.5,229.0,227.0,227.5,190.7805633544922,20649609
2017-12-12,229.5,229.5,225.0,227.5,190.7805633544922,21796584
2017-12-13,227.5,228.0,226.5,227.0,190.36126708984375,17920331
2017-12-14,228.0,230.5,227.5,230.5,193.29632568359375,17193313
2017-12-15,228.5,230.0,226.5,230.0,192.87704467773438,42625779
2017-12-18,227.0,228.0,226.5,227.0,190.36126708984375,14564664
2017-12-19,226.5,228.5,224.0,225.0,188.68409729003906,25714129
2017-12-20,225.0,225.5,223.5,224.5,188.26480102539062,26289333
2017-12-21,226.5,227.0,224.5,225.0,188.68409729003906,18558164
2017-12-22,225.0,227.5,224.0,227.5,190.7805633544922,19036483
2017-12-25,228.0,229.5,226.5,228.5,191.619140625,4579675
2017-12-26,229.0,229.0,225.0,226.0,189.52268981933594,13755843
2017-12-27,225.0,226.0,225.0,225.0,188.68409729003906,12515245
2017-12-28,226.5,228.0,225.0,226.0,189.52268981933594,24304371
2017-12-29,227.5,230.0,226.5,229.5,192.45774841308594,25007443
2018-01-02,231.5,232.5,231.0,232.5,194.97352600097656,18055269
2018-01-03,236.0,238.0,235.5,237.0,198.74720764160156,29308091
2018-01-04,240.0,240.0,236.5,239.5,200.84371948242188,29096613
2018-01-05,240.0,240.0,238.0,240.0,201.2630157470703,22438255
2018-01-08,242.0,242.5,240.5,242.0,202.9402313232422,20233692
2018-01-09,242.0,242.0,239.5,242.0,202.9402313232422,19043123
2018-01-10,241.5,242.0,236.0,236.5,198.3279266357422,23631220
2018-01-11,235.0,236.0,232.5,235.0,197.070068359375,30446338
2018-01-12,234.5,238.0,233.5,237.0,198.74720764160156,21513291
2018-01-15,240.0,240.0,238.0,240.0,201.2630157470703,27476533
2018-01-16,240.0,240.5,238.0,240.5,201.6823272705078,21691632
2018-01-17,240.5,243.0,239.0,242.0,202.9402313232422,38046119
2018-01-18,245.0,250.0,245.0,248.5,208.3910675048828,49896952
2018-01-19,253.5,255.5,251.5,255.5,214.26126098632812,50549292
2018-01-22,257.5,262.0,257.0,261.5,219.29283142089844,43400509
2018-01-23,262.5,266.0,262.5,266.0,223.06649780273438,33527444
2018-01-24,263.0,263.0,256.5,258.0,216.3577117919922,41874813
2018-01-25,258.0,264.0,256.5,258.0,216.3577117919922,44643756
2018-01-26,256.5,257.5,253.5,255.0,213.84193420410156,39555523
2018-01-29,259.0,261.5,255.0,258.5,216.7770538330078,30071234
2018-01-30,256.0,257.5,252.5,253.0,212.16473388671875,36860591
2018-01-31,253.0,257.5,252.0,255.0,213.84193420410156,44136808
2018-02-01,257.5,261.0,257.0,259.5,217.61563110351562,30559457
2018-02-02,259.0,260.0,255.0,259.5,217.61563110351562,25707560
2018-02-05,251.0,254.5,250.5,253.0,212.16473388671875,45594379
2018-02-06,242.5,243.5,234.0,239.0,200.42440795898438,102409048
2018-02-07,245.0,245.5,239.5,240.0,201.2630157470703,80063178
